weight,word
47608,hotel,neutral
33391,room,neutral
20481,great,positive
18394,nt,neutral
16484,good,positive
15799,staff,neutral
14830,stay,neutral
12040,nice,positive
11662,rooms,neutral
10821,location,neutral
10245,stayed,neutral
9705,service,neutral
9459,time,neutral
9230,beach,neutral
9142,night,neutral
9101,clean,positive
9059,breakfast,neutral
9023,day,neutral
8644,food,neutral
7661,resort,neutral
7493,place,neutral
6869,pool,neutral
6510,friendly,positive
6496,people,neutral
6359,small,neutral
5927,walk,neutral
5846,excellent,positive
5763,area,neutral
5488,2,neutral
5336,helpful,positive
5013,restaurant,neutral
4918,bar,neutral
4831,bathroom,neutral
4783,restaurants,neutral
4770,trip,neutral
4735,recommend,positive
4714,bed,neutral
4700,water,neutral
4509,beautiful,positive
4496,view,neutral
4443,floor,neutral
4305,comfortable,positive
4275,desk,neutral
4231,5,neutral
4222,nights,neutral
4194,3,neutral
3975,wonderful,positive
3953,hotels,neutral
3918,free,neutral
3884,make,neutral